timestamp_utc,gpu_used_mib,gpu_free_mib,gpu_util_pct,app_rss_mib,ollama_rss_mib,runners_rss_mib
2026-09-14T12:15:26Z,5358,2477,0,22.0,37.8,1091.5
2026-09-14T12:15:31Z,5358,2477,0,889.6,37.8,1091.5
2026-09-14T12:15:36Z,586,7250,0,2087.1,57.0,306.5
2026-09-14T12:15:41Z,4810,3026,0,2087.1,47.1,4540.5
2026-09-14T12:15:46Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:15:51Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:15:56Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:02Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:07Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:12Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:17Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:22Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:27Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:32Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:37Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:42Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:47Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:52Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:16:58Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:17:03Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:17:08Z,4810,3026,0,2087.1,47.1,4606.1
2026-09-14T12:17:13Z,4810,3026,0,2087.1,47.2,4606.1
2026-09-14T12:17:18Z,4810,3026,0,2087.1,47.2,4606.1
2026-09-14T12:17:23Z,4810,3026,0,2087.1,47.2,4606.1
2026-09-14T12:17:28Z,4814,3022,45,2087.1,47.2,4651.1
2026-09-14T12:17:33Z,4814,3022,39,2087.1,47.3,4651.1
2026-09-14T12:17:38Z,4814,3022,49,2087.2,57.0,4697.4
2026-09-14T12:17:43Z,486,7349,66,2087.6,243.9,0.0
2026-09-14T12:17:48Z,5828,2008,97,2087.6,47.3,729.5
2026-09-14T12:17:54Z,5828,2008,96,2087.6,47.4,729.6
2026-09-14T12:17:59Z,5828,2008,96,2087.6,47.5,729.6
2026-09-14T12:18:04Z,5828,2008,96,2087.6,47.6,729.6
2026-09-14T12:18:09Z,5828,2008,97,2087.6,58.8,730.1
2026-09-14T12:18:14Z,5828,2008,97,2087.6,58.8,730.1
2026-09-14T12:18:19Z,5828,2008,96,2087.6,58.8,730.1
2026-09-14T12:18:24Z,5828,2008,97,2087.6,58.8,730.1
2026-09-14T12:18:29Z,5828,2008,97,2087.6,55.5,730.6
2026-09-14T12:18:34Z,5828,2008,97,2087.6,55.5,730.6
2026-09-14T12:18:39Z,5828,2008,97,2087.6,55.5,730.6
2026-09-14T12:18:44Z,5828,2008,96,2087.6,55.6,730.6
2026-09-14T12:18:49Z,5828,2008,97,2087.6,55.6,730.6
2026-09-14T12:18:54Z,5828,2008,96,2087.7,57.5,731.1
2026-09-14T12:19:00Z,5828,2008,97,2087.7,57.5,731.1
2026-09-14T12:19:05Z,5828,2008,97,2087.7,57.5,731.1
2026-09-14T12:19:10Z,5828,2008,97,2087.7,57.5,731.1
2026-09-14T12:19:15Z,5828,2008,0,2087.5,57.5,731.2
